,Datetime,Tweet Id,Text,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes
970,2021-06-13 04:18:54+00:00,1403929847735341062,ใครฉีด mRNA vaccine มาแล้วบ้างครับ อยากขอบริจาคเลือดตรวจภูมิคุ้มกันเทียบกับภูมิคนไทยที่ฉีดวัคซีนภายในประเทศหน่อยครับ ใครสะดวกกรุณา dm มาเลยครับ ขอบคุณครับ,1577,5491,29,15
2156,2020-12-20 20:48:42+00:00,1340761063709683714,"So how does a COVID mRNA vaccine work, anyway?💉

And how does it compare to a traditional vaccine, or just getting COVID?

Well, it comes down to a story of spikes🦠 &amp; burglars 🦹🏻‍♀️

Here’s a layperson stab at an explanation: (Docs, feel free to weigh in!)
https://t.co/hneHYxML3p",36880,5059,2084,734
985,2021-06-11 05:44:41+00:00,1403226663677153283,"เห็นคนแชร์ข้อมูลฉีด mRNA vaccine แล้วตายตั้ง 5 พันคนกันรัว ๆ ทิ้งท้ายด้วย link ของ Children's Health Defense ซึ่งเป็นของ Robert Kennedy Jr. แล้วต้องมองบน 🙄 

คนนี้คือ Anti-vaxxer ระดับบอสของอเมริกาที่ไม่ต้องเข้ามาทำแคมเปญในเมืองไทยเลย เพราะ anti-mRNA กระจายให้เสร็จ",841,4968,10,20
2271,2020-12-08 13:11:53+00:00,1336297449506430977,"📍Everyone needs to read this 40-year saga of Dr Katalin Karikó, inventor of the mRNA therapy behind Pfizer/BioNTech &amp; Moderna #COVID19 vaccines. Rejected many times, nevertheless she persisted. She will win the Nobel Prize. Oh she’s an *immigrant* too! https://t.co/bxMLTQLPN0 https://t.co/xOcDmUOysz",16815,4890,174,740
69,2021-08-25 03:29:58+00:00,1430371848248647682,Past mRna vaccines failed because they couldn't pass clinical 3 stage trials. FDA solved that by approving these vaccines before those trials can place.,12038,4776,252,184
1268,2021-05-03 18:04:39+00:00,1389279753065037826,"อ้าว!! สรุปว่า...คนที่เป็นภูมิแพ้หรือแพ้ยาสามารถฉีดได้ตามปกติ แต่คนที่แพ้สารก่อภูมิแพ้บางชนิดเท่านั้นที่เมื่อฉีด mRNA vaccine เข้าไปแล้ว จะถูกสารเพิ่มปริมาณ (excipient) เช่น PEG (PEG-lipid ที่เป็นตัวพา mRNA เข้า cell) ไปกระตุ้นให้เกิด anaphylaxis (แพ้รุนแรง)
Rojas et. al. 2021",462,4431,7,24
921,2021-06-16 13:07:04+00:00,1405149929736216576,"No-shows for 2nd doses are becoming a problem. Ppl book multiple appts and then don't cancel.

We can't just put mRNA vaccine back in the fridge. If you no-show you are forcing us to scramble or throw unused vaccine away.

Don't be a 2nd dose jerk! Cancel your extra appts!",12347,4401,340,190
243,2021-08-11 06:35:58+00:00,1425345225761845251,"ระวังแพ้ mRNA vaccine เมื่อมีประวัติแพ้ส่วนผสมในเครื่องสำอาง, โลชั่น, moisturizer https://t.co/b3peOZB5qO",1056,4204,10,37
846,2021-06-22 00:23:04+00:00,1407131990734737408,จนถึงปัจจุบันมีหลักฐานเพียง #วัคซีน AstraZeneca และ mRNA vaccine เท่านั้นที่ลดการติดเชื้อและแพร่เชื้อได้ ซึ่งเป็นปัจจัยสำคัญที่ทำให้เกิด #herd #immunity ได้ ผมเดาเองว่าวัคซีนที่ใช้เทคโนโลยีเดียวกันก็คงได้ผลเช่นเดียวกัน การสร้างภูมิคุ้มกันหมู่ไม่ใช่สร้างด้วยวัคซีนใดก็ได้ :),1244,4097,18,27
729,2021-06-29 08:48:00+00:00,1409795778449575937,"ฝากแคมเปญจากภาคีบุคลากรสาธารณสุขนะครับ
ขอเชิญบุคลากรการแพทย์ และประชาชนที่สนใจ ร่วมลงชื่อเรียกร้องให้นำเข้า mRNA vaccine ด่วน !!!โดยการติด #ต้องการmRNAvaccine ทั้งทาง Facebook IG Twitter
และลงทะเบียนผ่านทาง : https://t.co/ItsWUXgDm8 หรือ QR code
เสียงของทุกคนมีความหมายครับ https://t.co/2ZFZVd5hCJ",492,4093,12,41
1292,2021-04-29 21:03:06+00:00,1387875110208606210,"Protection from mRNA vaccines doesn't start to kick in until two weeks after your first dose, and it's not at its peak until two weeks after your second dose. Don't let your guard down too early.",22400,4075,177,129
173,2021-08-17 08:55:14+00:00,1427554603625639938,"4 สไลด์สำคัญของ ChulaCoV-19 mRNA vaccine
1. กระตุ้นภูมิชนิด neutralizing antibody (NAb) ได้สูงทัดเทียม Pfizer
2. ทดสอบทั้ง live virus และ pseudovirus neutralization เอาอยู่ทุกสายพันธุ์
3. เก็บในอุณหภูมิห้องได้ 2 wk ในตู้เย็นได้ 3 เดือน

ดีงามสุด ๆ 👍😍 https://t.co/z3GhIfZYAf",1521,4045,23,59
106,2021-08-22 19:57:24+00:00,1429533181162582019,"The mRNA vaccine story was by no means fast. Both it and lipid nanoparticles for its delivery took several decades
https://t.co/bLjvrsZYUi https://t.co/wqVikHhLPj",9526,3947,102,375
80,2021-08-24 16:20:57+00:00,1430203485576904708,"JUST IN - Pfizer CEO says #COVID19 vaccine-resistant variant likely to emerge, but the big pharma company would be able to turn around a ""variant-specific"" new mRNA jab within 3 months (Fox)",9010,3926,2642,3021
374,2021-07-28 16:47:00+00:00,1420425569494130689,ข้อมูล mRNA vaccine นี่มันเยอะจริง ๆ ล่าสุด Nature ตีพิมพ์วันนี้เอง พบว่า mRNA กระตุ้นภูมิในด้าน cellular immunity ตั้งแต่ 7 วันหลังเข็มแรกและมีฤทธิ์ป้องกันการป่วยหนักได้ตั้งแต่ 10 วันหลังฉีด ฤทธิ์นี้เกิดก่อนร่างกายจะสร้าง antibody ด้วยซ้ำ https://t.co/vkbWCcO645 https://t.co/96AeE9FvTZ,1312,3802,15,26
664,2021-07-03 23:34:53+00:00,1411468520882278407,กว่าแสนชื่อแล้ว ร่วมลงนามเรียกร้องรัฐบาลนำเข้า mRNA Vaccine ด่วน! https://t.co/9h5voJBVyz,1688,3793,43,25
2118,2020-12-28 14:24:27+00:00,1343563466221748224,"everyone should know katalin karikó's name. she is the woman behind the mrna research backing the two frontrunner covid19 vaccines, which she doggedly pursued despite being treated absolutely miserably and disgracefully by upenn https://t.co/1YQNdgzNx8 https://t.co/JfhwmLh937",8209,3716,45,189
430,2021-07-24 15:40:53+00:00,1418959380377214979,BREAKING REPORT: Founder of mRNA Vaccine Dr. Robert Malone claims CDC Is UNDER-REPORTING and EDITING Adverse Affects of COVID Vaccines...,6147,3696,187,155
154,2021-08-18 12:20:16+00:00,1427968587579416578,"For those who doubt the poor durability of the Pfizer mRNA vaccine - Data analysis from Israel

https://t.co/JUkaIgmRq8",7986,3627,309,238
821,2021-06-23 17:37:12+00:00,1407754624912736261,"JUST IN - CDC advisory group says there is a ""likely link"" between mRNA #COVID19 vaccines and ""rare heart inflammation"" in young males after 300 reported cases (Daily Mail)",7249,3500,353,499
1045,2021-06-03 12:41:02+00:00,1400432337511276545,"จะว่าไป ความเชื่อว่า #วัคซีนโควิด ชนิดเชื้อตายปลอดภัยกว่า mRNA นี่เป็น fallacy อย่างนึง
ในขณะที่มีข้อมูลการใช้ mRNA vaccine ในเด็กอายุ 12 ปี, มีการศึกษาในคนท้อง, กำลังศึกษาในเด็กอายุตั้งแต่ 6 เดือน

เราไม่เห็นข้อมูลการศึกษากลุ่มเหล่านี้ในวัคซีนเชื้อตายให้เห็นเลย #โควิด19 #โควิด",1068,3410,18,20
2,2021-08-30 18:43:44+00:00,1432413746169884685,"What's in mRNA vaccines? The only active ingredient is the messenger ribonucleic acid (mRNA), which trains your body to recognize and kill the virus. Other ingredients are fats, salts, and sugars that stabilize and protect the mRNA. None stay in your body or change your DNA.",9995,3402,449,172
752,2021-06-27 23:16:38+00:00,1409289598077964288,"BREAKING: FDA Adds Warning About Heart Inflammation to COVID-19 mRNA Vaccines. 

Oh, oops!",8638,3321,239,176
108,2021-08-22 14:26:42+00:00,1429449956843302915,We wanted to understand how mRNA vaccines work. So we talked to three Fox News viewers at a Bonefish Grill in The Villages.,44358,3317,156,124
473,2021-07-20 05:03:52+00:00,1417349518236942338,"แม้ตอนนี้ทิศทางนโยบายวัคซีนจะดีขึ้น เหล่า อ.อาวุโส หรือ ผบห ทั้งหลายเริ่มออกมาพูดว่าเรามอง mRNA vaccine มาตลอด, เราไม่ปิดกั้น, เราไม่เคยด้อยค่า … ฯลฯ

ได้แต่สงสัยว่าทำไมเราอ่านไม่เจอการให้ข่าวแบบนั้นมาก่อนเลย ท่านเหล่านั้นไปพูดกันตอนไหน 🙄",1222,3287,38,23
1596,2021-03-29 14:50:02+00:00,1376547200298323977,"Stanford scientists saved drops of the COVID-19 vaccine destined for the garbage can, reverse engineered them, and have posted the mRNA sequence that powers the vaccine on GitHub for all to see. https://t.co/HsKDJRs8F1",8770,3261,73,928
741,2021-06-28 14:40:06+00:00,1409521999484014594,"The Pfizer-BioNTech and Moderna Covid-19 vaccines may protect against the coronavirus for years, a study of more than a dozen vaccinated people found.

The findings add to evidence that most people immunized with the mRNA vaccines may not need boosters.
https://t.co/U7eNTP9bvI",7618,3258,612,1172
694,2021-07-01 09:40:49+00:00,1410533843296157698,ข้อมูลแสดงชัดซ้ำไปซ้ำมาแล้วว่า mRNA vaccine มีประสิทธิผลสูงมาก ผลงานตีพิมพ์ล่าสุด HEROES-RECOVER network พบว่าบุคลากรการแพทย์ฉีด mRNA vaccine ครบป้องกันการป่วยจาก COVID ได้ 91% แม้ได้ฉีดแค่เข็มเดียวก็ป้องกันได้ 81% https://t.co/V2qDP8cpMb https://t.co/sJdDJyfB8Y,803,3258,9,18
323,2021-08-03 00:18:59+00:00,1422351253527437330,"เยอรมันให้คนสูงอายุ, ภูมิต่ำ, คนเคยได้ AZ หรือ J&amp;J ครบไปฉีด mRNA vaccine เข็มสาม หลายประเทศกำลังทำตามกันมา ทำให้ demand ของ mRNA vaccine สูงมากอีกหลายปี ประเทศไทยควรวางแผนเผื่อไว้ปีหน้าเช่นกัน ที่มี 25 ล้าน doses ไม่น่าพอ ภาพรวม vaccine inequity มากขึ้น
https://t.co/mvpIEfJ2vk https://t.co/o7LHLFNOpq",654,3215,15,27
1164,2021-05-16 01:55:48+00:00,1393746975393083392,"การที่แพทยบริกรพยายามเอางานวิจัยมาบอกว่าฉีดซิโนแวคกระตุ้นภูมิคุ้มกันได้ นั้นเป็นการพูดความจริงเพียง 25%

1. ระดับภูมิที่ขึ้นไม่ได้บอกว่าป้องกันโรคได้
2. ตัวเลข Drop out ของ SinoVac เยอะมากกว่า 50% มีปัญหาในการแปรผลแน่นอน
3. mRNA vaccine ภูมิขึ้นสูงกว่าราว 20 เท่า

#โควิค19 https://t.co/AC1z1TPVT4",697,3090,3,23
190,2021-08-15 21:20:02+00:00,1427017261743804416,The 2003 SARS outbreak led to substantial work on mRNA technology and coronavirus vaccines. We may not have this type of head start the next time a dangerous microbe emerges unless we make vaccine research and development a priority.,13107,2949,218,81
677,2021-07-02 14:46:31+00:00,1410973165522763777,"Youtube says I can't tell you that new studies show Ivermectin may be an effective treatment for COVID

I can however advise you to get a mRNA vaccine from a stranger while drunk at a bar because you might win $1 million dollars",14152,2945,281,114
521,2021-07-14 22:07:50+00:00,1415432880528973827,"Please RT 
DNA is stored in the nucleus of our cells.  mRNA NEVER enters the nucleus, and cannot affect or combine with our DNA in any way to change our genetic code.  mRNA vaccines teach the cell how to make a protein that triggers an immune response. mRNA degrades within 72hrs",5088,2942,252,147
237,2021-08-11 16:22:37+00:00,1425492860619481098,"There needs to be truth-telling about the reduced protection of mRNA vaccines vs symptomatic Delta infections. 
It was 95% pre-Delta. 
Many are claiming it's still ~80%.
It isn't. 
50-60% is best estimate from all sources (not US, since we don't have the data) https://t.co/ep608YW0J7",6480,2936,506,827
